"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "YAML", "Markdown", "TypeScript JSX", "XML", "Prisma", "SQL", "PostCSS", "comment", "blank", "total"
"/Users/ayaanzaveri/Code/cognite/sst.config.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 63
"/Users/ayaanzaveri/Code/cognite/tailwind.config.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 76
"/Users/ayaanzaveri/Code/cognite/tsconfig.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 37
"/Users/ayaanzaveri/Code/cognite/types/index.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 64
"/Users/ayaanzaveri/Code/cognite/types/next-auth.d.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/ayaanzaveri/Code/cognite/utils/chain.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 33
"/Users/ayaanzaveri/Code/cognite/utils/embed.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/ayaanzaveri/Code/cognite/utils/getChunks.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17
"/Users/ayaanzaveri/Code/cognite/utils/scrapeSite.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/ayaanzaveri/Code/cognite/utils/timestampDate.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/Users/ayaanzaveri/Code/cognite/utils/vector.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"/Users/ayaanzaveri/Code/cognite/utils/ytTranscript.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 35, 1416, 122, 127, 14455, 21, 4410, 2, 81, 92, 63, 132, 2678, 23634
